sensor_a,sensor_b,variable,cell_id,timestamp,value_a,value_b,reference_source
sar,reference,snow_depth,cell_1,2026-01-10,0.52,0.50,snowex_2026
sar,reference,snow_depth,cell_2,2026-01-10,0.48,0.45,snowex_2026
sar,reference,snow_depth,cell_3,2026-01-10,0.61,0.58,snowex_2026
sar,reference,snow_depth,cell_4,2026-01-11,0.55,0.52,snowex_2026
sar,reference,snow_depth,cell_5,2026-01-11,0.49,0.48,snowex_2026
optical,reference,snow_cover,cell_1,2026-01-10,0.82,0.80,snowex_2026
optical,reference,snow_cover,cell_2,2026-01-10,0.75,0.78,snowex_2026
optical,reference,snow_cover,cell_3,2026-01-10,0.90,0.88,snowex_2026
optical,reference,snow_cover,cell_4,2026-01-11,0.85,0.83,snowex_2026
optical,reference,snow_cover,cell_5,2026-01-11,0.70,0.72,snowex_2026
