region_id,valid_from,valid_to,danger_scale_standard,danger_level_1_to_5,danger_level_1_to_4,avalanche_problem,elevation_band_policy,forecaster_or_reviewer_id,source_ref,license_scope,review_status,reviewer_id,reviewed_at,reviewer_notes
region_id_value_0,2026-03-24T13:13:35.688901+00:00,2026-03-25T13:13:35.688901+00:00,eaws_5_level,1,1,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-24T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_1,2026-03-25T13:13:35.688901+00:00,2026-03-26T13:13:35.688901+00:00,eaws_5_level,2,2,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-25T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_2,2026-03-26T13:13:35.688901+00:00,2026-03-27T13:13:35.688901+00:00,eaws_5_level,3,3,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-26T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_0,2026-03-27T13:13:35.688901+00:00,2026-03-28T13:13:35.688901+00:00,eaws_5_level,4,4,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-27T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_1,2026-03-28T13:13:35.688901+00:00,2026-03-29T13:13:35.688901+00:00,eaws_5_level,5,1,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-28T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_2,2026-03-29T13:13:35.688901+00:00,2026-03-30T13:13:35.688901+00:00,eaws_5_level,1,2,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-29T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_0,2026-03-30T13:13:35.688901+00:00,2026-03-31T13:13:35.688901+00:00,eaws_5_level,2,3,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-30T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_1,2026-03-31T13:13:35.688901+00:00,2026-04-01T13:13:35.688901+00:00,eaws_5_level,3,4,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-31T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_2,2026-04-01T13:13:35.688901+00:00,2026-04-02T13:13:35.688901+00:00,eaws_5_level,4,1,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-01T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
region_id_value_0,2026-04-02T13:13:35.688901+00:00,2026-04-03T13:13:35.688901+00:00,eaws_5_level,5,2,wind_slab,synthetic_elev_bands_1200_1600_2000_2400,synthetic_forecaster,file:raw_sources/danger_labels_and_bulletins_synthetic_source.txt#sha256=3c1de6c55c1799fd4cee12dd65104925f42ba6a52832d1a9ac979f49f873b820,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-02T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
