station_id,observed_at,layer_index,layer_depth_cm,grain_type,hardness_index,stability_index,quality_flag,source_ref,license_scope,review_status,reviewer_id,reviewed_at,reviewer_notes
station_id_value_0,2026-03-24T13:13:35.688901+00:00,1,20,grain_type_value_0,0.20,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-24T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_1,2026-03-25T13:13:35.688901+00:00,2,23,grain_type_value_1,0.30,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-25T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_2,2026-03-26T13:13:35.688901+00:00,3,26,grain_type_value_2,0.40,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-26T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_3,2026-03-27T13:13:35.688901+00:00,4,29,grain_type_value_3,0.50,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-27T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_4,2026-03-28T13:13:35.688901+00:00,5,32,grain_type_value_0,0.60,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-28T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_5,2026-03-29T13:13:35.688901+00:00,6,35,grain_type_value_1,0.20,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-29T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_6,2026-03-30T13:13:35.688901+00:00,1,38,grain_type_value_2,0.30,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-30T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_7,2026-03-31T13:13:35.688901+00:00,2,41,grain_type_value_3,0.40,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-03-31T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_8,2026-04-01T13:13:35.688901+00:00,3,44,grain_type_value_0,0.50,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-01T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_9,2026-04-02T13:13:35.688901+00:00,4,47,grain_type_value_1,0.60,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-02T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_0,2026-04-03T13:13:35.688901+00:00,5,50,grain_type_value_2,0.20,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-03T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_1,2026-04-04T13:13:35.688901+00:00,6,53,grain_type_value_3,0.30,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-04T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_2,2026-04-05T13:13:35.688901+00:00,1,56,grain_type_value_0,0.40,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-05T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_3,2026-04-06T13:13:35.688901+00:00,2,59,grain_type_value_1,0.50,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-06T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_4,2026-04-07T13:13:35.688901+00:00,3,62,grain_type_value_2,0.60,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-07T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_5,2026-04-08T13:13:35.688901+00:00,4,65,grain_type_value_3,0.20,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-08T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_6,2026-04-09T13:13:35.688901+00:00,5,68,grain_type_value_0,0.30,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-09T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_7,2026-04-10T13:13:35.688901+00:00,6,71,grain_type_value_1,0.40,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-10T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_8,2026-04-11T13:13:35.688901+00:00,1,74,grain_type_value_2,0.50,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-11T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
station_id_value_9,2026-04-12T13:13:35.688901+00:00,2,77,grain_type_value_3,0.60,0.64,reviewed_valid,file:raw_sources/snowpack_profile_features_synthetic_source.txt#sha256=3e9d85aa611c0c42944c8e57bea206101e32fe016fb1e66f889f5ca936e21edc,internal_research_validation,reviewed,synthetic_validation_fixture_reviewer,2026-04-12T13:13:35.688901+00:00,SYNTHETIC_VALIDATION_ONLY_NOT_PARTNER_EVIDENCE
